place,grav,sexe,trajet,secu1,secu2,lum,agg,int,atm,col,lat,long,catr,circ,nbv,vosp,prof,plan,surf,infra,situ,vma,senc,catv,obs,obsm,choc,manv,motor,Hour,DayOfWeek,Month,Age
1,1,1,-1,-1,0,5,2,2,3,6,48.9493634583,2.5196639908,3,2,4,0,1,1,1,0,1,50,1,7,0,2,3,15,1,19,5,3,21.0
1,2,2,5,0,-1,5,2,2,3,6,48.9493634583,2.5196639908,3,2,4,0,1,1,1,0,1,50,-1,60,0,0,7,19,5,19,5,3,7.0
1,1,1,1,1,0,2,2,2,2,3,48.80655,2.23588,3,2,3,0,1,1,2,0,1,50,1,7,0,2,5,15,1,16,2,12,40.0
1,1,1,5,1,0,2,2,2,2,3,48.80655,2.23588,3,2,3,0,1,1,2,0,1,50,2,7,0,2,1,1,1,16,2,12,86.0
1,1,1,5,8,8,1,2,1,1,3,48.9075657758,2.4547603726,2,1,4,3,1,1,1,3,6,50,1,99,0,2,7,7,1,9,5,10,45.0
1,4,2,4,1,8,1,2,1,1,3,48.9075657758,2.4547603726,2,1,4,3,1,1,1,3,6,50,1,37,0,2,3,2,2,9,5,10,27.0
1,1,1,5,1,8,1,2,2,1,3,48.9074,2.45684,3,2,4,0,1,3,1,9,1,50,3,7,0,2,2,16,1,16,2,10,70.0
1,4,1,0,8,0,1,2,2,1,3,48.9074,2.45684,3,2,4,0,1,3,1,9,1,50,3,99,0,2,1,26,3,16,2,10,32.0
1,1,2,0,1,8,1,2,2,1,3,48.8810767676,2.1844232082,3,2,4,0,4,1,1,0,1,50,1,7,0,2,2,16,1,15,6,10,41.0
1,4,1,0,8,0,1,2,2,1,3,48.8810767676,2.1844232082,3,2,4,0,4,1,1,0,1,50,1,60,0,2,0,0,5,15,6,10,12.0
1,4,1,5,2,6,1,2,1,1,2,48.7042539233,2.3720598221,3,3,5,0,1,1,1,0,1,50,2,33,0,2,4,2,1,13,6,10,35.0
1,3,1,-1,0,-1,1,2,2,1,3,49.00508,2.09362,4,2,2,0,1,1,1,5,1,50,1,32,0,2,7,0,1,13,5,9,75.0
1,1,2,1,0,-1,1,2,2,1,3,49.00508,2.09362,4,2,2,0,1,1,1,5,1,50,1,7,0,2,3,19,1,13,5,9,57.0
1,4,1,0,1,0,5,2,3,1,3,48.70589,2.37178,3,-1,2,0,1,1,1,1,1,50,1,7,0,2,1,0,1,1,2,9,28.0
1,4,1,0,1,0,5,2,3,1,3,48.70589,2.37178,3,-1,2,0,1,1,1,1,1,50,1,7,9,2,2,15,1,1,2,9,37.0
1,1,1,4,1,0,1,1,1,1,2,49.00232,2.0815,2,1,2,0,1,1,2,0,1,70,3,15,0,2,1,2,0,11,2,12,28.0
1,4,1,4,1,0,1,1,1,1,2,49.00232,2.0815,2,1,2,0,1,1,2,0,1,70,3,99,0,2,4,1,0,11,2,12,26.0
1,1,1,0,1,0,1,2,9,1,6,48.9177631123,2.5716912746,4,2,1,0,1,1,1,0,4,50,1,7,0,1,1,20,1,11,5,7,35.0
1,1,1,5,1,0,1,2,1,1,3,48.8184120889,2.2295728326,3,2,2,0,1,1,1,0,1,50,1,7,0,2,1,1,1,9,1,7,74.0
1,4,1,1,2,6,1,2,1,1,3,48.8184120889,2.2295728326,3,2,2,0,1,1,1,0,1,50,1,32,0,2,7,21,1,9,1,7,22.0
1,1,2,1,1,0,1,2,2,1,3,48.995974,2.094474,4,-1,3,0,2,1,1,0,1,50,3,7,0,2,3,19,1,16,1,12,45.0
1,4,1,0,2,0,1,2,2,1,3,48.995974,2.094474,4,-1,3,0,2,1,1,0,1,50,2,30,0,2,1,17,1,16,1,12,17.0
1,1,1,5,8,0,1,2,1,7,6,48.709581,2.481405,3,2,1,0,1,1,1,6,1,50,2,7,0,1,3,19,1,11,4,12,77.0
1,4,1,9,8,0,2,1,1,1,7,48.65823,2.52086,2,3,2,0,1,1,1,9,1,90,2,7,3,2,1,14,1,8,3,12,82.0
1,1,1,0,1,0,1,2,6,2,3,48.703066,2.439902,4,1,2,0,1,1,2,9,8,50,3,3,1,0,1,0,0,16,2,12,23.0
1,1,1,0,1,0,1,2,6,2,3,48.71077,2.48836,3,1,1,1,1,2,2,9,5,50,3,7,0,2,3,9,2,15,2,12,48.0
1,4,1,0,8,0,1,2,6,2,3,48.71077,2.48836,3,1,1,1,1,2,2,9,5,50,3,50,0,2,1,0,3,15,2,12,26.0
1,1,1,9,1,8,1,2,1,1,6,48.9201788318,2.377595678,3,2,2,0,1,1,1,0,4,50,1,7,0,1,1,2,1,11,6,12,41.0
1,1,1,5,1,-1,3,1,1,1,5,48.975149,2.24303,1,3,5,0,1,1,1,0,1,110,1,7,0,2,7,11,1,20,4,12,18.0
1,4,1,4,1,-1,3,1,1,1,5,48.975149,2.24303,1,3,5,0,1,1,1,0,1,110,1,7,0,2,9,1,2,20,4,12,48.0
1,4,1,5,1,-1,3,1,1,1,5,48.975149,2.24303,1,3,5,0,1,1,1,0,1,110,1,7,0,2,8,1,1,20,4,12,28.0
